company,location,total_laid_off,date,percentage_laid_off,industry,source,notes
microsoft corp.,Various,"5,632",04/25/2023,,Consumer,https://example.com/x17127,
Salesforce,Austin,11632,12-Jan-2025,,,https://example.com/x72408,
Uber,NYC,11472,2024/06/18,,Consumer,https://example.com/x95568,
Hooli Labs,NYC,401,01-Nov-2023,,Other,,no_mapping
Soylent Corp,NYC,78,03/27/2025,,Other,,no_mapping
Meta,Various,  377  ,06/11/2023,,Tech,https://example.com/x12883,
"Uber Technologies, Inc.",SF Bay Area,1177,05-May-2024,0.14,Other,https://example.com/x42213,synthetic
Microsoft,  ,2743,2023-02-06,0.29,Finance,https://example.com/x86512,
Lyft,Seattle,  5949  ,"November 21, 2023",0.70,Consumer,https://example.com/x90124,synthetic
CRM,SF Bay Area,8848,"May 12, 2024",0.24,Other,https://example.com/x10220,synthetic
TESLA,NYC,5375,2024/05/05,0.75,Other,https://example.com/x15682,synthetic
google llc,SF Bay Area,10915.0,04/02/2023,0.85,,https://example.com/x30023,
Airbnb,Seattle,  4030  ,03-Jun-2023,,,https://example.com/x58274,
microsoft corp.,Austin,8874.0,"December 31, 2023",0.25,Finance,https://example.com/x48968,
  Meta Platforms  ,X,100,not-a-date,,Tech,,bad_date
Apple,Seattle,8892.0,2024/10/14,0.88,Tech,https://example.com/x93675,
Lyft,Austin,1511,12/29/2024,0.09,,https://example.com/x66116,
microsoft corp.,Seattle,5247.0,2024/10/28,0.92,,https://example.com/x1001,synthetic
apple inc.,  ,11423,06/07/2024,0.84,Other,https://example.com/x84855,synthetic
amazon.com,  ,607,"October 29, 2023",0.19,,https://example.com/x73455,synthetic
APPLE INC,Austin,5952,2023/02/09,0.59,Tech,https://example.com/x89068,
GOOGL,SF Bay Area,2633.0,2023-10-05,,Finance,https://example.com/x26885,
Uber,  ,"4,884",2025-02-06,0.36,Other,https://example.com/x15214,
Salesforce Inc.,NYC,10232,03/01/2025,0.30,Consumer,https://example.com/x39804,
salesforce.com,SF Bay Area,5939,"June 26, 2024",,Other,https://example.com/x98842,synthetic
meta platforms,Remote,9578,2024/02/18,0.59,Consumer,https://example.com/x59771,synthetic
Microsoft,Various,  897  ,2024-10-22,0.01,Finance,https://example.com/x10701,
GOOGL,Seattle,N/A,2023/11/17,0.27,Finance,https://example.com/x23451,synthetic
Amazon.com Inc.,Seattle,10303.0,2023/03/26,,Other,https://example.com/x14415,
"Airbnb, Inc.",Seattle,8827.0,"May 28, 2024",,Finance,https://example.com/x62846,
META PLATFORMS,Remote,  8060  ,2023/05/13,0.35,Other,https://example.com/x56535,
Hooli Labs,NYC,198,08-Jun-2024,,Other,,no_mapping
  Apple Inc  ,Various,1861.0,2023-07-13,0.96,Finance,https://example.com/x63815,
google llc,Seattle,"9,677","January 08, 2023",0.35,Tech,https://example.com/x19181,
"Tesla, Inc.",SF Bay Area,1726,2024/04/21,,Tech,https://example.com/x72796,
Alphabet,  ,11280,09-Jul-2023,0.49,,https://example.com/x70803,synthetic
Soylent Corp,NYC,363,2023-08-11,,Other,,no_mapping
Salesforce,Remote,7459.0,2023/01/21,0.98,Other,https://example.com/x69700,
Tesla,SF Bay Area,  8711  ,"April 29, 2024",,Other,https://example.com/x97472,
Tesla,Seattle,  6844  ,11/26/2024,0.93,Tech,https://example.com/x31363,
Amazon,Austin,3400,03/12/2025,0.79,Tech,https://example.com/x59641,synthetic
uber technologies,Remote,  4344  ,2023-11-17,,,https://example.com/x93269,synthetic
CRM,  ,11821,2023/04/08,0.56,Other,https://example.com/x30303,synthetic
META PLATFORMS,Various,8684,2023-11-14,0.22,Other,https://example.com/x41169,
MICROSOFT CORP,NYC,  10269  ,2024-01-04,,Tech,https://example.com/x87489,
Apple Inc.,  ,N/A,"December 13, 2023",,Finance,https://example.com/x27218,synthetic
"Uber Technologies, Inc.",NYC,10886,"January 08, 2023",0.84,Other,https://example.com/x15537,
Lyft,NYC,11717.0,26-Mar-2023,0.53,Other,https://example.com/x20334,synthetic
Uber,Various,9356.0,"June 07, 2023",,,https://example.com/x57576,
Meta Platforms Inc,Austin,  8015  ,01/13/2024,,,https://example.com/x3401,synthetic
Salesforce Inc.,  ,N/A,2024-07-13,,Finance,https://example.com/x31867,synthetic
AMZN,Austin,8376,02/25/2024,0.73,Tech,https://example.com/x27987,
Apple Inc.,  ,"10,161",2024-09-29,,Tech,https://example.com/x57545,
LYFT,Various,2903.0,"January 13, 2025",,,https://example.com/x27066,
Lyft,NYC,11977,12-Apr-2024,,Tech,https://example.com/x39225,
  Meta Platforms  ,NYC,"6,633","December 01, 2023",0.47,Tech,https://example.com/x15387,
LYFT INC,Seattle,11869.0,"January 02, 2023",0.91,Finance,https://example.com/x76899,
Amazon.com Inc.,Seattle,10834,05-Dec-2024,,,https://example.com/x35895,synthetic
UBER,  ,"5,833",18-Oct-2023,0.06,,https://example.com/x68515,
Amazon,SF Bay Area,"4,301",12/03/2023,0.65,Other,https://example.com/x77231,
Microsoft,Remote,  8726  ,"January 04, 2025",0.86,Other,https://example.com/x11422,
Amazon,  ,2750,29-Apr-2024,0.00,Consumer,https://example.com/x6733,
MSFT,Seattle,6308,2024/07/07,,,https://example.com/x33926,
MICROSOFT CORP,NYC,  7788  ,2024/08/25,,,https://example.com/x83091,synthetic
AMZN,Various,758,2024/01/20,0.71,Other,https://example.com/x60978,
Google LLC,Austin,6763,2023-11-29,,Tech,https://example.com/x755,
LYFT INC,SF Bay Area,"10,684",20-Nov-2023,0.22,Finance,https://example.com/x17712,
AMAZON.COM,Various,828.0,"September 26, 2023",,,https://example.com/x902,
Airbnb,NYC,"7,285",2024-01-29,0.10,,https://example.com/x76488,
Google LLC,  ,"2,215","July 13, 2023",0.15,Finance,https://example.com/x28463,
Salesforce,X,100,not-a-date,,Tech,,bad_date
Lyft,Seattle,8347.0,10-Aug-2024,0.58,Other,https://example.com/x11940,synthetic
CRM,X,100,not-a-date,,Tech,,bad_date
Airbnb Inc.,Various,"4,195",2023/02/28,0.87,Finance,https://example.com/x30165,
"Meta Platforms, Inc.",Remote,"8,295",05/30/2024,0.64,Consumer,https://example.com/x44186,
AMZN,SF Bay Area,  9918  ,04/11/2023,0.38,Tech,https://example.com/x94484,
Google,Seattle,6393.0,2024/06/13,0.43,Consumer,https://example.com/x95574,
LYFT,Austin,  4683  ,02/14/2024,,Finance,https://example.com/x13599,
UBER,Remote,  3993  ,"April 11, 2023",0.87,Consumer,https://example.com/x2087,
Meta Platforms Inc,NYC,10200,2024-08-27,,Finance,https://example.com/x67179,synthetic
Apple,  ,8683,2024/02/08,0.78,Other,https://example.com/x51803,
apple inc.,Seattle,11336,20-Aug-2024,,Finance,https://example.com/x50622,synthetic
"Tesla, Inc.",Austin,6084.0,02-May-2024,,Finance,https://example.com/x92881,synthetic
Initech Solutions,NYC,479,07/20/2023,,Other,,no_mapping
ABNB,SF Bay Area,"6,458",2023-08-28,0.09,Other,https://example.com/x88307,synthetic
Amazon,Remote,"9,622",01/26/2023,0.04,Tech,https://example.com/x39772,
Uber,NYC,  11696  ,2023-03-29,,Tech,https://example.com/x85405,
Salesforce,NYC,2499,2024/11/25,0.54,,https://example.com/x60947,synthetic
ABNB,NYC,  577  ,03/17/2025,,,https://example.com/x58759,
Google,Remote,1868,"February 09, 2024",,,https://example.com/x61216,synthetic
  Meta Platforms  ,X,100,not-a-date,,Tech,,bad_date
Uber,Various,11962,2023/06/13,0.09,Finance,https://example.com/x35330,
Airbnb,Various,7802,16-Jan-2025,0.05,Finance,https://example.com/x36035,
Apple,NYC,10503,2024/03/14,0.54,Tech,https://example.com/x99518,
Microsoft Corporation,SF Bay Area,"9,384","March 02, 2025",0.37,Tech,https://example.com/x41983,
LYFT INC,SF Bay Area,  6743  ,"March 02, 2023",0.25,Other,https://example.com/x51443,synthetic
microsoft corp.,SF Bay Area,N/A,2023-02-16,0.13,Tech,https://example.com/x19366,
LYFT INC,Various,1649,28-Jul-2023,,Finance,https://example.com/x98999,
Salesforce Inc.,Seattle,N/A,04/15/2023,0.88,Other,https://example.com/x82536,
LYFT,  ,9843.0,2024/02/05,0.74,Other,https://example.com/x83591,
Tesla,SF Bay Area,5118,"March 08, 2023",0.88,Finance,https://example.com/x9355,synthetic
Airbnb Inc.,Remote,  4244  ,2024-06-23,0.48,Finance,https://example.com/x98898,synthetic
Soylent Corp,NYC,492,"August 28, 2024",,Other,,no_mapping
META PLATFORMS,Various,581,17-Jul-2023,,Finance,https://example.com/x53670,
Soylent Corp,NYC,312,"September 21, 2024",,Other,,no_mapping
Amazon,Remote,479,"November 01, 2024",,Tech,https://example.com/x53480,
Hooli Labs,NYC,50,12/06/2023,,Other,,no_mapping
Lyft,Various,2036,2024-07-08,,Finance,https://example.com/x79336,synthetic
LYFT,  ,10096,04/06/2023,0.27,Consumer,https://example.com/x60283,synthetic
Apple,  ,2246,16-May-2023,0.85,,https://example.com/x55242,
LYFT INC,NYC,5022,14-Nov-2023,0.33,Other,https://example.com/x10313,
Google LLC,  ,  5166  ,2024/10/03,0.52,Consumer,https://example.com/x58937,
UBER,SF Bay Area,4706,2023/12/20,0.51,,https://example.com/x55946,
Amazon,Various,"6,569",2023/03/29,,Tech,https://example.com/x82802,synthetic
"Airbnb, Inc.",Various,6368,2024-04-05,0.85,,https://example.com/x51012,
Google,Remote,1163,2023/10/22,,Tech,https://example.com/x13147,synthetic
MICROSOFT CORP,Seattle,  7122  ,2024/03/09,,Other,https://example.com/x97951,
ABNB,Remote,"9,126",2024/09/10,0.10,Other,https://example.com/x68031,
Apple Computer,NYC,6232,2024-06-24,,Tech,https://example.com/x45114,
Meta,Various,"10,933",2024/11/04,,Tech,https://example.com/x69105,synthetic
Salesforce Inc.,Austin,9026,18-May-2023,,Finance,https://example.com/x76160,synthetic
Globex Industries,NYC,200,2023-11-12,,Other,,no_mapping
Meta Platforms Inc,Various,"1,944",12/18/2024,,Consumer,https://example.com/x32556,
Microsoft,Seattle,"8,812",07/10/2023,0.96,Consumer,https://example.com/x45272,synthetic
AMAZON.COM,Remote,5178,2025-01-08,0.46,,https://example.com/x41604,
ABNB,SF Bay Area,"1,869","April 26, 2024",,,https://example.com/x53812,
APPLE INC,Various,  7260  ,"April 14, 2024",,Finance,https://example.com/x46946,
google llc,Austin,  3455  ,2024-10-21,0.14,Consumer,https://example.com/x91595,
ABNB,Seattle,5996,05/29/2024,0.79,Tech,https://example.com/x80026,
Microsoft,Various,8245.0,"September 25, 2023",,Tech,https://example.com/x3337,
  Meta Platforms  ,Austin,N/A,"March 18, 2025",0.25,Other,https://example.com/x59314,synthetic
  Apple Inc  ,Various,4057,02/24/2024,,Other,https://example.com/x72757,
ABNB,X,100,not-a-date,,Tech,,bad_date
  Meta Platforms  ,Austin,1642,01/11/2025,,,https://example.com/x32205,
Google LLC,Austin,5438,2024-06-11,0.91,,https://example.com/x22307,
Microsoft,Remote,10573,"December 29, 2024",0.49,Tech,https://example.com/x11723,synthetic
APPLE INC,Remote,10362,2024-05-22,0.15,Finance,https://example.com/x90524,synthetic
Google,Remote,8486,2024/01/10,0.74,Other,https://example.com/x72326,
"Lyft, Inc.",NYC,2524.0,02/04/2023,0.84,Tech,https://example.com/x91601,
GOOGL,Remote,6423.0,05-Aug-2023,0.17,Other,https://example.com/x31537,synthetic
Google LLC,Seattle,"8,293",2025-01-24,0.12,Tech,https://example.com/x20756,synthetic
  Apple Inc  ,NYC,"2,390",2023-04-13,0.83,,https://example.com/x49781,synthetic
Alphabet Inc.,Austin,1971,"June 18, 2023",0.68,Consumer,https://example.com/x18210,synthetic
AMAZON.COM,Various,7317.0,2024/05/25,0.42,Tech,https://example.com/x86144,
MSFT,Austin,2929,2024/01/25,0.06,Other,https://example.com/x33941,
Apple Inc.,NYC,781,2023-01-04,0.57,,https://example.com/x69106,
MICROSOFT CORP,SF Bay Area,1216,2023-01-14,,Other,https://example.com/x69864,synthetic
amazon.com,Various,  2562  ,11/03/2023,0.64,,https://example.com/x16269,
APPLE INC,Remote,11606,2024-08-09,,Consumer,https://example.com/x40141,
"Airbnb, Inc.",  ,1407.0,21-Jul-2023,0.96,Finance,https://example.com/x28164,
TESLA,X,100,not-a-date,,Tech,,bad_date
salesforce.com,SF Bay Area,891,2023-11-17,,Finance,https://example.com/x8767,
"Airbnb, Inc.",Various,"9,718",03/03/2025,0.29,,https://example.com/x64459,
CRM,Various,"6,309",2024/10/17,,,https://example.com/x24784,
APPLE INC,Seattle,2522,"October 19, 2024",0.92,Tech,https://example.com/x87205,
Microsoft Corporation,  ,  8330  ,"November 08, 2023",0.03,Finance,https://example.com/x34640,
GOOGL,Various,3220,2024-01-19,0.82,Consumer,https://example.com/x70631,
Tesla,Various,"10,242",27-Jan-2024,0.58,Tech,https://example.com/x25760,
Tesla,SF Bay Area,5074,"March 08, 2023",0.88,Finance,https://example.com/x9355,synthetic
Globex Industries,NYC,38,09-Nov-2024,,Other,,no_mapping
APPLE INC,Remote,"9,027",04/05/2024,0.22,Other,https://example.com/x12357,
LYFT INC,SF Bay Area,N/A,2024-01-02,,Consumer,https://example.com/x32585,
Airbnb,SF Bay Area,1102,03/07/2023,,Finance,https://example.com/x77593,
LYFT,  ,5352.0,2023-04-17,0.29,Finance,https://example.com/x67379,
"Lyft, Inc.",  ,10275.0,2024/03/31,,Finance,https://example.com/x80287,
MSFT,Seattle,8308,2023-04-20,0.45,,https://example.com/x40898,
Meta,Seattle,"1,970",05-Mar-2024,,Consumer,https://example.com/x82381,
Google LLC,  ,  7079  ,11/21/2023,,Tech,https://example.com/x2115,
Apple Inc.,Remote,282,2024/06/20,0.72,Finance,https://example.com/x61458,
META,Austin,"8,030",11/10/2023,,Consumer,https://example.com/x34168,
Alphabet Inc.,NYC,  9361  ,2023-03-20,,Consumer,https://example.com/x8066,
Alphabet Inc.,Remote,  7508  ,2024-10-05,,Other,https://example.com/x73407,
tesla motors,Seattle,11594,27-Feb-2023,0.98,Other,https://example.com/x6190,
Tesla,Seattle,1631,2023/04/25,,Tech,https://example.com/x704,synthetic
AMZN,Remote,11915.0,2024/07/23,0.62,Consumer,https://example.com/x28544,
AMAZON.COM,Austin,2150,"April 22, 2024",,Tech,https://example.com/x24008,
Airbnb,NYC,"9,576",19-Aug-2024,0.74,Consumer,https://example.com/x67235,synthetic
Alphabet Inc.,NYC,10105.0,06-Feb-2025,0.27,Finance,https://example.com/x14108,
Uber,Austin,9034,05/13/2023,0.23,,https://example.com/x4472,synthetic
Soylent Corp,NYC,442,"June 02, 2024",,Other,,no_mapping
APPLE INC,  ,8963,01/18/2024,0.07,Tech,https://example.com/x80807,synthetic
MICROSOFT CORP,NYC,"2,790",2024/02/01,,Other,https://example.com/x77734,
microsoft corp.,SF Bay Area,"5,911",14-Aug-2024,,,https://example.com/x34089,
airbnb inc,Austin,9896,2024/01/10,0.24,Other,https://example.com/x73760,
amazon.com,Remote,5335,"November 18, 2024",,,https://example.com/x23995,synthetic
google llc,Seattle,1631,"October 01, 2023",,Tech,https://example.com/x8224,
amazon.com,Seattle,  2930  ,2024-02-29,0.52,Tech,https://example.com/x1397,
AMZN,Various,  5701  ,06/25/2024,,Other,https://example.com/x99348,
Lyft,  ,7563.0,2023/10/06,,Finance,https://example.com/x55037,
Uber,SF Bay Area,  998  ,"January 22, 2024",0.23,Consumer,https://example.com/x82922,synthetic
Airbnb Inc.,NYC,  76  ,07-Nov-2023,,,https://example.com/x54414,
"Uber Technologies, Inc.",  ,9022.0,2025/01/18,,,https://example.com/x79715,
META,X,100,not-a-date,,Tech,,bad_date
Apple Inc.,Remote,9728,2023/12/14,,,https://example.com/x71950,
Amazon,Seattle,  2885  ,2023/07/12,,Finance,https://example.com/x81408,
Hooli Labs,NYC,304,"January 01, 2024",,Other,,no_mapping
Alphabet Inc.,NYC,6556.0,2024/11/29,,Tech,https://example.com/x85270,
TESLA,  ,  8355  ,04-May-2024,,Tech,https://example.com/x58093,
Microsoft,  ,5482,"November 20, 2024",0.44,,https://example.com/x17832,
uber technologies,Remote,11668,2025/03/04,0.74,Finance,https://example.com/x87305,
"Tesla, Inc.",Seattle,  7987  ,2023-05-17,0.82,Consumer,https://example.com/x50636,
Uber,SF Bay Area,4516,11/22/2024,,Consumer,https://example.com/x79238,
google llc,Various,"9,581","January 10, 2024",0.34,Other,https://example.com/x51835,synthetic
LYFT,Seattle,11447.0,2023-03-29,0.12,Finance,https://example.com/x91414,synthetic
Microsoft Corporation,Seattle,974,16-Jan-2023,0.85,Consumer,https://example.com/x36866,synthetic
Lyft,Austin,4153,2024/07/24,,Tech,https://example.com/x79275,synthetic
Google LLC,  ,10429,2024/03/23,0.15,Tech,https://example.com/x75835,synthetic
Globex Industries,NYC,468,01/07/2024,,Other,,no_mapping
Uber,Remote,  10832  ,2024-09-23,0.35,Tech,https://example.com/x47259,
UBER,Austin,  317  ,2023-02-10,,,https://example.com/x77252,
  Apple Inc  ,Austin,"2,626","December 16, 2023",0.80,Tech,https://example.com/x46238,synthetic
ABNB,Austin,  10273  ,24-Mar-2023,0.08,Finance,https://example.com/x86394,synthetic
apple inc.,X,100,not-a-date,,Tech,,bad_date
  Apple Inc  ,Seattle,10299.0,10/06/2024,,,https://example.com/x99596,
google llc,NYC,609.0,2023/01/24,0.66,Consumer,https://example.com/x67730,
"Uber Technologies, Inc.",Remote,  3982  ,04/25/2024,0.84,,https://example.com/x91536,synthetic
Apple,X,100,not-a-date,,Tech,,bad_date
uber technologies,Remote,3163,2023-11-03,0.58,Other,https://example.com/x65731,
Airbnb,Various,"3,916",2024-12-30,0.68,Other,https://example.com/x124,
TESLA,NYC,10967,2023/11/06,0.25,Other,https://example.com/x15611,synthetic
Amazon,Remote,"9,587",01/26/2023,0.04,Tech,https://example.com/x39772,
Airbnb Inc.,Austin,  11103  ,02/17/2023,0.97,Finance,https://example.com/x75795,
Microsoft,Various,N/A,2023-03-09,0.06,,https://example.com/x22863,
Uber,Various,3634,24-Mar-2024,,Other,https://example.com/x75353,
  Meta Platforms  ,  ,9207,2023/04/23,0.13,Finance,https://example.com/x27871,
Amazon,SF Bay Area,11175,13-Dec-2023,,Consumer,https://example.com/x83024,
Uber,NYC,"10,054",03/30/2024,0.40,,https://example.com/x1479,
tesla motors,NYC,"3,921",2023/06/30,0.40,Tech,https://example.com/x96915,
Soylent Corp,NYC,480,02/08/2025,,Other,,no_mapping
UBER,Remote,10494.0,2024/06/07,0.33,Consumer,https://example.com/x82444,
Lyft,Seattle,4324,21-Sep-2024,0.11,,https://example.com/x86128,
ABNB,Austin,  208  ,11/01/2023,,Finance,https://example.com/x84737,
LYFT,SF Bay Area,376.0,2023/11/03,,Finance,https://example.com/x43158,
META PLATFORMS,NYC,2747,2023/09/25,,Tech,https://example.com/x51179,
amazon.com,Remote,N/A,"November 18, 2024",,,https://example.com/x23995,synthetic
Lyft,SF Bay Area,1943,"May 10, 2023",0.25,Consumer,https://example.com/x48140,
Globex Industries,NYC,165,"September 05, 2023",,Other,,no_mapping
Hooli Labs,NYC,408,08/25/2023,,Other,,no_mapping
Lyft,  ,2001,2024/04/14,,Consumer,https://example.com/x91252,
Apple Computer,NYC,  11484  ,"June 14, 2023",0.32,Other,https://example.com/x46771,
AMAZON.COM,Various,"5,969",21-Oct-2024,,Finance,https://example.com/x51417,
MICROSOFT CORP,Austin,"9,587","April 28, 2024",0.99,Finance,https://example.com/x40431,
"Tesla, Inc.",SF Bay Area,11165,31-Jul-2024,0.68,Consumer,https://example.com/x68756,
Salesforce,Remote,N/A,2024-06-23,0.81,Consumer,https://example.com/x99372,synthetic
Globex Industries,NYC,134,06/16/2024,,Other,,no_mapping
"Lyft, Inc.",NYC,3713,"January 06, 2023",,Finance,https://example.com/x28249,
uber technologies,Various,10850,27-Mar-2024,0.17,Tech,https://example.com/x35121,
google llc,Various,7293,"June 20, 2024",0.73,Finance,https://example.com/x71559,synthetic
MSFT,Remote,3027,09/05/2023,0.82,Tech,https://example.com/x9791,
CRM,  ,"11,273","July 14, 2024",0.98,Consumer,https://example.com/x58004,
uber technologies,Remote,"1,411",2023/08/08,,,https://example.com/x83313,synthetic
salesforce.com,Various,9266,15-May-2023,0.24,Consumer,https://example.com/x93968,synthetic
ABNB,  ,10101,"October 24, 2024",,Finance,https://example.com/x60838,
MICROSOFT CORP,NYC,2805,2024/02/01,,Other,https://example.com/x77734,
amazon.com,Austin,11885,2024-06-25,0.63,Consumer,https://example.com/x64166,
Airbnb Inc.,SF Bay Area,5977,14-Jul-2023,0.77,Finance,https://example.com/x23030,
Apple Computer,Various,2808,08/03/2024,0.22,Consumer,https://example.com/x86623,synthetic
LYFT,Austin,"3,312","April 10, 2024",0.46,Consumer,https://example.com/x37205,
Lyft,SF Bay Area,961.0,2024-10-29,,,https://example.com/x20684,synthetic
LYFT,Various,2213,19-Aug-2024,0.87,,https://example.com/x80384,
Uber,Austin,11510,04/04/2024,0.26,,https://example.com/x90624,
Soylent Corp,NYC,227,29-Mar-2023,,Other,,no_mapping
MSFT,Austin,"6,338",2023-03-31,0.38,Consumer,https://example.com/x77280,
"Lyft, Inc.",NYC,N/A,2023/03/23,0.65,Finance,https://example.com/x53717,
LYFT INC,SF Bay Area,6913.0,"July 27, 2024",0.77,Other,https://example.com/x27154,
ABNB,SF Bay Area,  8943  ,"November 27, 2023",,Other,https://example.com/x68717,
Airbnb Inc.,Seattle,6957.0,10/24/2024,,Other,https://example.com/x6094,synthetic
UBER,NYC,2271.0,2023-02-25,0.05,Tech,https://example.com/x68897,
airbnb inc,SF Bay Area,6875.0,09/30/2023,,Consumer,https://example.com/x85122,
LYFT,Remote,959,"February 09, 2024",0.91,Consumer,https://example.com/x91377,
Alphabet Inc.,Various,3183.0,"February 19, 2024",,,https://example.com/x53569,
tesla motors,Seattle,8590,2024-03-26,,Finance,https://example.com/x11674,
Airbnb,Remote,  2278  ,2024/04/09,0.98,Finance,https://example.com/x87491,synthetic
Apple,NYC,7713,12-Oct-2024,0.42,Other,https://example.com/x70557,
Initech Solutions,NYC,131,"March 19, 2024",,Other,,no_mapping
Microsoft,  ,6638.0,2023-04-25,,Consumer,https://example.com/x54542,
salesforce.com,Remote,"3,916",09/24/2024,,Tech,https://example.com/x95954,
Apple Inc.,Seattle,"3,503","September 20, 2024",,Tech,https://example.com/x13034,
airbnb inc,Austin,N/A,"January 28, 2025",,Consumer,https://example.com/x66223,synthetic
Tesla,Various,1494.0,14-Feb-2024,0.83,Consumer,https://example.com/x81961,
apple inc.,Austin,"8,470","November 01, 2024",0.70,Tech,https://example.com/x24198,synthetic
google llc,Remote,  3043  ,25-May-2023,0.06,Consumer,https://example.com/x4759,
UBER,Remote,  6310  ,26-Mar-2023,,Consumer,https://example.com/x68758,
Tesla,Austin,6895,12/12/2024,0.22,,https://example.com/x5288,
LYFT INC,Seattle,  11881  ,"January 02, 2023",0.91,Finance,https://example.com/x76899,
Hooli Labs,NYC,458,"October 12, 2023",,Other,,no_mapping
Microsoft,Various,2500,19-Dec-2024,0.90,Consumer,https://example.com/x32639,
Google LLC,Various,  442  ,2024/01/16,0.23,Consumer,https://example.com/x24112,
UBER,NYC,  11953  ,12/06/2023,0.24,,https://example.com/x90035,
tesla motors,Various,1675,2024-02-17,,Finance,https://example.com/x21009,
tesla motors,SF Bay Area,  2163  ,12/03/2024,1.00,,https://example.com/x10859,
Google,Remote,5822,01/12/2025,,,https://example.com/x16612,synthetic
Hooli Labs,NYC,314,09/20/2024,,Other,,no_mapping
META,Seattle,9596,18-Feb-2024,,Finance,https://example.com/x10472,
Alphabet,  ,3414.0,30-Apr-2024,,Consumer,https://example.com/x56748,
Globex Industries,NYC,448,14-Jan-2023,,Other,,no_mapping
microsoft corp.,SF Bay Area,3524.0,14-Aug-2023,,Tech,https://example.com/x89308,
Uber,Seattle,7694.0,31-Oct-2024,0.50,Consumer,https://example.com/x57223,
 Tesla Inc ,Various,"6,357",2023-02-10,0.72,Other,https://example.com/x32274,
Google,NYC,"10,135",2023-07-21,0.43,,https://example.com/x30835,synthetic
Tesla,SF Bay Area,  3468  ,27-Apr-2024,0.93,Other,https://example.com/x88032,
LYFT,NYC,"5,129",2024-01-29,0.82,Tech,https://example.com/x76499,
airbnb inc,  ,9401,2023-01-07,,Consumer,https://example.com/x35636,synthetic
AMZN,SF Bay Area,7733,2023-09-07,,,https://example.com/x30838,
LYFT INC,Austin,N/A,18-Sep-2023,0.39,Consumer,https://example.com/x43326,
Salesforce Inc.,Austin,11287,04-Jun-2024,0.51,Tech,https://example.com/x74088,
CRM,Remote,N/A,23-Oct-2023,0.74,Tech,https://example.com/x83389,
"Tesla, Inc.",Seattle,11471,10/23/2024,,Other,https://example.com/x47794,
AMAZON.COM,Remote,"11,482","April 13, 2024",0.78,,https://example.com/x97302,synthetic
Salesforce Inc.,Various,2724,"December 25, 2024",0.66,Finance,https://example.com/x70075,
airbnb inc,NYC,  5781  ,2023-05-27,0.04,Other,https://example.com/x54998,
Initech Solutions,NYC,285,03/28/2025,,Other,,no_mapping
microsoft corp.,Austin,5966.0,"June 18, 2023",0.07,Consumer,https://example.com/x78271,
Meta Platforms Inc,  ,10639.0,07/23/2024,,Other,https://example.com/x25346,synthetic
airbnb inc,  ,  2876  ,06/12/2024,,Tech,https://example.com/x53781,
Meta,  ,2581,11-May-2023,0.10,Other,https://example.com/x79826,synthetic
meta platforms,  ,4535,"September 16, 2023",0.36,Consumer,https://example.com/x23879,
MSFT,SF Bay Area,9332.0,"February 07, 2025",,Tech,https://example.com/x16107,
microsoft corp.,Remote,265,08/31/2023,0.09,Tech,https://example.com/x34456,
UBER,SF Bay Area,  9598  ,05/04/2023,0.58,Consumer,https://example.com/x47190,
UBER,NYC,10970.0,2023-09-06,0.29,Consumer,https://example.com/x2251,
Apple Inc.,Remote,1013,"November 27, 2024",0.54,Finance,https://example.com/x77189,synthetic
AMZN,Austin,8331.0,02/25/2024,0.73,Tech,https://example.com/x27987,
Salesforce,  ,4827,09/26/2023,,Consumer,https://example.com/x64637,
salesforce.com,NYC,"9,901",16-Sep-2024,,Finance,https://example.com/x65152,
CRM,Various,4837,07/01/2023,0.58,,https://example.com/x5410,
Alphabet,Remote,"10,014",2024/09/13,,Finance,https://example.com/x5581,synthetic
Amazon.com Inc.,Remote,5801,24-Feb-2023,0.34,Finance,https://example.com/x65109,
Apple Inc.,Various,7713.0,"July 25, 2024",0.32,Tech,https://example.com/x21281,
TESLA,Seattle,10532.0,"November 24, 2024",,Consumer,https://example.com/x4787,synthetic
Google LLC,Remote,3775,04/27/2024,0.48,Other,https://example.com/x60549,synthetic
apple inc.,Austin,7041,"August 23, 2024",,Tech,https://example.com/x48677,
META,X,100,not-a-date,,Tech,,bad_date
"Uber Technologies, Inc.",SF Bay Area,990,"February 28, 2025",,,https://example.com/x20066,
Microsoft Corporation,Remote,792.0,2024-07-01,0.24,Finance,https://example.com/x41438,
"Airbnb, Inc.",NYC,1435,09/04/2023,0.59,Consumer,https://example.com/x80056,
Airbnb Inc.,SF Bay Area,10131.0,2023-11-01,0.35,Tech,https://example.com/x95172,synthetic
Airbnb Inc.,Seattle,3172,"July 09, 2024",,Consumer,https://example.com/x78861,synthetic
LYFT,Various,10915,"January 05, 2023",,Tech,https://example.com/x22797,synthetic
Initech Solutions,NYC,41,2025-01-02,,Other,,no_mapping
Google,SF Bay Area,10496,"October 11, 2023",0.18,Other,https://example.com/x4754,
Uber,SF Bay Area,"5,607",2023-11-07,,,https://example.com/x52548,
Meta,X,100,not-a-date,,Tech,,bad_date
META,X,100,not-a-date,,Tech,,bad_date
Soylent Corp,NYC,259,02/17/2025,,Other,,no_mapping
apple inc.,X,100,not-a-date,,Tech,,bad_date
Uber,NYC,"7,261",2024/06/18,0.82,Consumer,https://example.com/x4082,
